MovieID,Title,Genre,ReleaseYear,ReleaseDate,Country,BudgetUSD,US_BoxOfficeUSD,Global_BoxOfficeUSD,Opening_Day_SalesUSD,One_Week_SalesUSD,IMDbRating,RottenTomatoesScore,NumVotesIMDb,NumVotesRT,Director,LeadActor
15,Purpose miss others show,Action,1963,18-08-1963,USA,8501420.16,6211747.19,9097154.27,1623480.87,2987040.85,6.5,78,934,1602,Patricia Munoz,Sharon Riley
16,Similar off,Drama,1983,03-03-1983,USA,25624591.73,32569914.94,67639926.85,6839515.13,18766598.57,5,38,2912,53,Jason Jones,Thomas Hill
17,Accept past she somebody,Horror,2019,07-04-2019,USA,20109873.91,45376636.88,96710883.85,4752425.69,19705757.17,4.2,36,8691,3326,Mr. Jorge Anderson,Daniel Hughes
18,Memory blue,Thriller,1963,04-09-1963,USA,4036756.47,8983230.19,17172258.41,1633753.84,4621801.17,8.1,82,24249,50,Mr. Jorge Anderson,Casey Lloyd
19,Sport just score,Drama,2009,23-11-2009,India,1184356.93,1459831.77,2344529.83,435180.88,677505.19,4.2,55,14306,644,Amanda Cantrell,Christopher Hanson
20,Mrs close hotel,Comedy,2004,05-04-2004,USA,16757088.88,13567813.68,26958812.72,1496912.68,6550068.04,7.4,80,594,136,Kimberly Barker,Kimberly Ray
21,Agree garden,Romance,2005,23-02-2005,USA,273022.95,226835.03,419360.89,64754.05,106243.16,7,77,46809,684,Rachel Hayes,Michael Martinez
22,Short phone sometimes product,Drama,2003,26-08-2003,USA,2077605.68,1208808.1,2077605.68,186896.3,699624.15,5.5,55,27847,6812,Sophia Gomez,Nathan Nelson
23,Identify,Drama,2013,07-10-2013,USA,2846436.28,5420815.26,9172595.82,1293966.86,2829319.33,5.3,49,2103,490,Robert Webster,Victoria Phillips
24,Large over the,Comedy,2014,11-03-2014,India,16106357.21,10826254.71,16106357.21,3194948.01,6016765.18,6.7,82,7987,296,Colleen Willis,Cody Peters
25,Picture value,Drama,2008,12-08-2008,USA,9723471.21,23359088.54,40416194.23,3705611.28,9456073.51,6.6,69,23341,199,Mark Brooks,Tonya Campbell
26,Seem into beyond,Comedy,1998,12-12-1998,USA,6734151.18,13967085.26,20371544.33,3229502.73,6297509.22,5.2,54,1520,1312,Faith Franklin,Melissa Cunningham
27,Bad side,Drama,1970,16-05-1970,USA,2024799.03,3120803.68,4506880.52,374038.96,1256605.58,6.9,93,1446,216,Abigail Robles,Diane Jacobs
28,Second,Romance,2007,04-06-2007,USA,2469350.08,1273405.22,2469350.08,256057.5,727685.16,5.6,41,571,58,Robert Webster,Christopher Tucker
29,Character institution good thousand,Sci-Fi,1990,05-06-1990,USA,3458304.82,5548990.92,9644313.66,737086.51,2569995.24,9.3,90,4652,1610,Chad Koch,Valerie Dennis
30,Professor either,Drama,2020,13-06-2020,USA,1238210.99,4122230.93,6059554.17,1183716.03,1858052.62,8.6,85,7629,404,Jacqueline Briggs,Melissa Mcgee
31,Model station,Action,1996,21-09-1996,USA,1172141.81,1482929.54,2282612.88,200603.95,680917.04,9.3,80,239,3468,Jerry Owens,Amanda Jenkins
32,Dinner,Action,2019,31-10-2019,USA,3913191.11,6878105.93,10333332.03,2057699.07,3295543.01,5.5,63,2201,1023,Oscar Santos,William Ramirez
33,From cold law,Comedy,2013,02-07-2013,USA,4171378,6648127.9,14091331.15,1534870.98,3067624.23,5.9,67,1374,50,Megan Sharp,George Green
34,Character return,Drama,2021,03-04-2021,USA,107950.63,338018.02,495980.3,75865.17,164850.74,7.4,74,26678,112,Barbara Torres,Lorraine White DDS
35,Draw trade,Drama,2021,15-08-2021,USA,100000,115654.78,193622.56,33823.66,50853.38,6.7,78,4570,1065,Karen Smith,Thomas Sims
36,Exist put simply,Horror,2018,20-11-2018,USA,2430470.62,5927177.49,12039047.95,1211567.88,2610598.55,5.7,56,2839,141,Bryan Murray,Becky Dean
37,Region region,Drama,2003,03-08-2003,Australia,2094307.14,5020481.93,9166273.7,738047.91,2061563.72,4.9,55,8011,122,David Charles,Danny Kline
38,Can shoulder,Thriller,2017,18-02-2017,USA,64470180.12,46679051.8,96768123.94,6074963.37,22218475.45,4.2,27,265,21363,Renee Campbell,Mark Jones
39,Above dog,Action,1985,14-12-1985,UK,18078218.43,15977864.71,24818868.59,1795317.33,7744296.9,7.7,78,4232,69,Sara Higgins,James Nichols
40,Record stay lead,Sci-Fi,2011,17-04-2011,USA,6574229.67,4384075.74,9675132.29,1034644.32,2339816.82,4.9,57,2630,149,Albert Phillips,Victoria Phillips
41,Bank government year,Romance,1993,12-04-1993,USA,1144198.37,2258528.34,3404123.13,538761.77,1146165.66,4.2,47,4131,9710,Sophia Gomez,Pamela Lopez
42,Sing office hair,Sci-Fi,2009,31-05-2009,UK,1340364.37,2832081.13,4692308.66,759063.94,1227524.14,8.4,80,3000,73,Michael Richards,Lucas Collins
43,Head lay,Drama,2015,26-07-2015,USA,1556340.37,4331530.19,6783887.36,775833.56,1910484.32,5.9,71,3443,50,Robin Hooper,Jeffrey Smith
44,Majority,Horror,2019,08-08-2019,France,181638.25,444091.3,647412.82,115173.15,246810.43,8.2,100,167,61,Hannah Camacho,Jason Mercer
45,Message bed behind,Drama,2012,25-03-2012,USA,435309.57,1286177.95,2107337.11,267419.05,591257.88,4.1,42,11862,58,Daniel Brown,Valerie Dennis
46,Official possible,Action,2025,17-03-2025,India,16134359.03,18254337.62,33790208.23,4386586.46,8675311.25,7.1,61,3080,330,Claudia Smith,Ryan Hood
47,Example center man,Drama,2003,25-05-2003,USA,3778402.22,5801682.55,14321983.04,1090064.13,2604561.73,7.3,78,1304,197,Judy Walker,William Crawford
48,Head team onto model,Drama,2011,24-05-2011,Australia,14345515.59,22340579.44,36257512.61,5350194.61,9151233.82,9.6,87,280,986,Robert Hendricks,Melissa Morales
49,Finish,Thriller,2012,14-11-2012,India,1679677.57,4653196.68,7170484.62,698285.69,2024793.94,8.8,92,4950,149,Seth Whitehead,Kathy Marshall
50,Right,Comedy,1993,25-04-1993,USA,2929612.32,3630673.53,5424425.42,379549.57,1563726.25,6.6,61,4726,1206,Faith Franklin,Mckenzie Perez
51,Dog improve perhaps,Comedy,1994,20-12-1994,India,16538725.61,19870382.45,36752241.31,5784169.09,11776984.6,4.8,30,4177,302,Jennifer Willis,Daniel Hughes
52,Strong son travel,Drama,1974,07-01-1974,India,3866117.13,9493477.11,15738161.74,2385246.49,4862447.47,3.7,33,1159,759,Mary Mitchell,Jason Chavez
53,Those arm action,Comedy,2018,09-04-2018,USA,1277927.48,1342671.7,2264163.18,331796.25,778078.36,5.7,54,579,853,Andrew Chambers,Brandon Mcguire
54,Perhaps much enjoy,Comedy,1998,22-11-1998,India,24436354.19,15268989.18,29551770.5,2599307.41,8153438.42,7.9,80,89519,15686,Michael Richards,Tricia Thomas
55,Difficult success organization,Action,2000,11-12-2000,USA,691258.28,1787495.32,3332775.16,333772.73,785631.86,7.2,74,125,6518,Daniel Brown,Patricia Ramirez
56,Usually push,Comedy,1990,03-06-1990,USA,520354.31,300667.11,520354.31,51494.64,161530.27,7.4,77,2281,222,Heidi Cisneros,Robert Walker
57,Bring tonight early,Thriller,2024,25-05-2024,USA,1234865.97,1508722.69,2934398.05,265677.35,722062.5,5.9,55,53650,2321,Michael Chung,Casey Collins
58,Run statement population,Comedy,1950,08-12-1950,USA,1497530.58,3082387,5474112.54,328046.51,1617742.5,4.5,50,10178,1341,Abigail Robles,Michelle Thomas
59,Issue put yes,Comedy,2000,19-04-2000,USA,2927562.18,7461160.88,11152470.79,764578.61,4017239.65,6.7,88,8358,448,Paul Rogers,Dominique Aguirre
60,Carry section,Action,1991,26-03-1991,USA,9569133.87,10137677.5,17997208.37,1205138.52,5489799.11,4.6,44,186,1506,Carolyn Schwartz,Mark Morris
61,Either this now,Drama,2009,17-12-2009,USA,463291.42,720699.04,1693997.5,175751.35,392873.01,5.2,37,234,2301,Jason Jones,Eric Cooper
62,Return speech,Documentary,2010,08-12-2010,UK,3846865.14,2426864.14,5661038.09,605464.33,1127868.54,6.4,55,1415,465,Jennifer Henry,Catherine Willis
63,Subject next per,Comedy,2003,26-04-2003,USA,5331369.42,11324332.14,16462359.05,2060189.92,5208204.97,7.5,82,10760,50,Donna Hall,Christopher Hurst
64,Education professor four,Thriller,2012,19-03-2012,USA,7471929.79,14388823.55,23901529,3660547.81,5823415.21,6.8,72,116,854,Anthony Rowland,Cassandra Dennis
65,Program ago,Romance,2019,25-08-2019,USA,821495.73,377276.53,821495.73,93369.14,155469.37,6.2,58,106,4205,Adam Brown,George Green
66,Owner four four,Drama,1967,04-05-1967,USA,43879798.56,59520827.82,130245281.2,6503349.25,28404732.85,4.2,29,1362,381,Philip Simmons,Joseph Leon
67,Until government,Drama,2011,28-11-2011,India,5194204.39,6095107.98,9482283.29,633029.43,2856974.63,8,87,3197,885,Ryan Tate,Darren Jones
68,Four forget today,Horror,1965,07-11-1965,USA,6020014.98,3659600.97,6020014.98,465908.55,2184451.52,4.3,47,2379,6081,Andrew Chambers,Christopher Hurst
69,Change think create,Drama,2003,28-09-2003,Australia,3023413.08,5008384.37,8219234.2,1270729.59,2128887.23,5.1,54,1796,3796,Melanie Olson,Douglas Davis
70,However whom,Action,1978,25-08-1978,USA,315105.7,733247.18,1335477.81,190391.12,334296.66,8.2,97,408,303,Jennifer Miller,Alexander Haley
71,Form floor thank,Comedy,2006,27-05-2006,USA,10496349.14,13498710.88,19454860.94,2934797.68,7656806.77,8.3,78,4494,2286,Darlene Murphy,Sharon Brady
72,Response main,Sci-Fi,1990,19-04-1990,China,42539968.69,26539546.08,65486453.26,7445218.32,14495215.29,4.6,38,59537,332,Kevin Green,Sandra Farmer
73,Believe TV past,Drama,1989,18-08-1989,USA,9200720.94,8470309.35,19271761.69,1401469.41,4724781.37,6.3,55,8238,747,David Hall,Sierra Brooks
74,Vote,Drama,2025,03-09-2025,UK,2192960.86,1267124.29,2672853.42,282633.44,646175.21,6.8,69,30377,191,Sophia Gomez,Valerie Dennis
75,Think exactly,Action,1978,20-11-1978,USA,3253702.72,1888422.64,3253702.72,432116.9,871417.04,4.1,28,4483,3266,Dr. Jonathan Long,Sarah Nelson
76,Power find,Action,1992,26-10-1992,USA,618082.19,1773511.07,2611459.7,422379.21,1004455.38,8.2,84,1363,156,James Cross,Mrs. Margaret Smith
77,Market one,Action,2007,19-09-2007,France,4499420.46,8456277.82,19420441.04,1757299.42,4429149.52,7.5,83,9695,854,David Rosales,Timothy George
78,All hot,Comedy,2019,17-01-2019,USA,1179407.39,2132090.19,4019719.21,332575.46,1255597.42,6.1,80,337,8294,Jeffrey Neal,Ashley Pena
79,Wide clearly provide,Romance,1983,16-08-1983,USA,943131.66,1851421.69,2714023.77,296828.88,761104.32,6.2,73,21230,66,Karen Smith,Melissa Cain
80,Sense relationship leader,Horror,2018,08-01-2018,India,1281929.03,2376100.25,4184566.19,595849.23,1153509.25,8.1,77,172,406,Francisco Ford,Mark Jones
81,Discuss result,Romance,2005,06-07-2005,USA,3223020.68,6442093.12,12784602.43,684472.83,3100800.15,5.7,39,2893,87,Jennifer Willis,Amber Willis
82,Away bring,Horror,1968,23-03-1968,USA,6157229.71,13095823.13,25839279.39,3900253.43,7404765.3,6.8,58,224,281,Matthew Beck,Kimberly Ramirez
83,Fall structure,Drama,1980,13-06-1980,Canada,23974912.09,21552744.82,43649740.73,5798470.48,9599861.55,6.7,77,2369,3907,Matthew Beck,Seth Smith
84,Physical say face within,Romance,1963,15-06-1963,USA,3185589.08,4372118.47,9146916.26,1154576.97,2365881.83,8.2,84,842,9880,Karen Barrett,Samantha Vargas
85,Under push evening,Documentary,2025,09-10-2025,USA,2658315.95,4121643.99,9783938.41,1068694.28,2442892.72,6,72,1736,854,Mr. Jorge Anderson,Lorraine White DDS
86,Around night,Comedy,2001,31-10-2001,USA,24738532.55,41941419.88,62766329.38,6775529.27,19025798.83,7.3,82,6899,1326,David Rosales,Dawn Blake
87,Focus investment her,Horror,2001,21-01-2001,USA,6014508.38,2908491.36,6014508.38,792860.49,1535755.96,5.2,48,10533,721,Ryan Tate,David Hart
88,Fly baby,Drama,2010,01-12-2010,USA,1747318.9,2028286.72,2979757.68,567546.78,830857.94,6.8,58,3871,50,William Walker,Becky Dean
89,Ask clearly if,Romance,2018,03-06-2018,USA,19986352.03,58923649.4,90020273.71,15941406.76,33920310.35,4.9,71,36798,50,Michael Richards,Jorge Kennedy
90,Speech about someone,Comedy,2017,09-03-2017,USA,2635531.28,7771896.85,12786755.18,1853562.36,3350240.59,8.9,80,4238,6086,Brian Robinson,Christopher Rodgers
91,Report physical candidate,Comedy,2016,27-02-2016,Germany,14151376.2,34925559.09,57682132.27,9617386.57,20329672.97,4.9,39,27289,79,William Carpenter,Christopher Benson
92,You discover,Romance,1991,20-01-1991,USA,1702153.01,3195665.91,4966959.55,460840.71,1608400.86,8.5,83,8090,18542,Mark Moody,Alison Clark
93,Alone day official,Romance,1988,18-09-1988,France,681709.43,1942184.28,3190720.65,197447.69,849457.52,8.6,82,12762,5849,Michael Chung,Sharon Brady
94,Choose common,Horror,1998,12-07-1998,USA,2152750.98,1489852.28,2834348.76,156555.86,819332.5,7.1,67,78355,657,Patricia Munoz,Stephen Cooper
95,Wonder young must,Action,2008,26-05-2008,USA,9056097.68,4812542.41,10090058.54,1311157.44,2379285.37,4.5,44,64113,77,Caitlin Brewer,Ashley Gilmore
96,All lot,Drama,2022,24-11-2022,USA,1987747.41,1774715.27,4255442.83,292971.59,875577.86,7.6,88,2444,2487,Emily Miller,Jorge Kennedy
97,Lay fill mind,Horror,1957,24-02-1957,USA,3090793.31,9792788.27,14058850.84,1666379.61,5115475.1,5.2,36,368,4183,Bryan Murray,Joseph Gonzalez
98,Hold,Thriller,1994,09-05-1994,USA,6184974.86,16002352.36,26207047.79,2733156.99,9381550.94,3,32,221,243,Ryan Tate,Mark Jones
99,However listen each,Thriller,2022,01-04-2022,USA,12613859.33,18557187.28,38386331.63,2947095.86,9716160.88,8.4,100,5052,33850,Jacqueline Briggs,Brittany Kelly
100,Best something last,Comedy,2001,20-09-2001,USA,16079957.21,7587586.53,16079957.21,1983293.64,3123046.37,6.9,63,128347,121,Melissa Hernandez,Pamela Frey
101,Hair significant fear,Drama,2004,11-10-2004,UK,7862147.77,4874513.15,9802761.93,1054550.57,2019570.09,7.7,58,1748,1944,Jeffrey Neal,Noah Harrison
102,Per,Drama,1996,27-04-1996,USA,3371043.88,3339465.73,6730363.36,672049.71,1672742.51,5.2,62,2688,2768,Adriana Campbell,Amy Gomez
103,Story when should,Sci-Fi,1982,12-08-1982,USA,36621112.33,95608042.01,145623169.5,9649201.26,47769043.68,6,73,2151,128,Mary Mitchell,Melissa Melendez
104,Market he suggest,Action,1982,23-11-1982,USA,5206805.07,6929767.71,16304744.83,1819017.66,3686621.74,6.8,49,6809,600,Michelle Collins,Amber Willis
105,Ever standard fill,Drama,2005,03-06-2005,USA,3611629.64,1974872.18,3611629.64,222872.11,1080178.44,8,77,608,50,Michael Richards,Dawn Blake
106,Debate clear light do,Thriller,1992,10-11-1992,USA,7034189.13,12141879.41,26903394.87,3054571.32,6465379.56,9,78,4973,360,David Perez,Derrick Smith
107,Difference sport face,Comedy,2013,14-02-2013,USA,18366087.81,18000226.4,31238452.83,3491028.21,10374090.07,5.7,47,8982,1909,Jeremy Ray,Peter Sanders
108,Official together sure,Thriller,2015,10-01-2015,USA,2311364.6,6712540.37,9629496.96,1543264.52,3140444.79,6.4,60,1002,82,Michelle Collins,Kristin Cook
109,Cut success,Drama,2000,17-04-2000,USA,105826404.7,252631438.2,459062513.6,53806543.21,141153308.2,6.8,64,12175,80,Janice Taylor,Daryl Douglas
110,Itself role,Comedy,2000,04-01-2000,USA,3960232.64,4823338.07,11422177.25,1011985.59,2391087.99,6.4,76,17403,50,Michael Manning,Teresa Davis
111,Everybody provide skin occur,Action,1995,18-12-1995,Canada,10900558.91,8794361.56,17537275.92,1572973.69,3825956.9,7.1,70,6820,50,Patricia Munoz,Melissa Mcgee
112,Bar,Action,2001,23-08-2001,USA,1467116.07,2427931.73,4487170.96,421658.06,1420464.26,6,49,20081,50,Dr. Jonathan Long,Leonard Contreras
113,Health administration,Sci-Fi,2000,15-09-2000,USA,1537625.71,3243764.22,5980646.57,834515.97,1735535.31,6.1,60,235,618,David Lee,Michelle Thomas
114,Old course,Thriller,1965,11-04-1965,Japan,525651.5,315169.13,589519.63,67410.01,178174.32,6.6,69,5833,90,James Miller,Catherine Rogers
115,Poor case,Horror,2002,03-10-2002,Canada,29038890.56,64269699.86,93011939.18,17020538.62,33684876.44,7,77,1597,50,Melanie Olson,Shawn Washington
116,These example yourself,Comedy,1997,20-08-1997,USA,2489181.02,4477633.53,8755541.21,1136240.81,2534272.41,7.3,76,29252,353,Jennifer Miller,Heather Williams
117,Dinner instead particularly,Drama,2013,16-06-2013,USA,4672262.46,4603358.26,9992642.31,905282.69,2730296.72,7,67,1842,50,Tracy Tucker,Patricia Keller
118,Strong summer,Documentary,2003,06-01-2003,USA,2714156.97,1561762.4,2714156.97,277367.56,804000.83,5,43,10572,888,Hannah Camacho,Paul Glover
119,Course now,Comedy,1985,03-05-1985,USA,17027926.54,11189963.05,17027926.54,2578517.36,4527574.68,6.4,61,1892,16043,Philip Simmons,Teresa Santos PhD
120,Doctor,Comedy,1986,29-09-1986,USA,8602015.64,4101668.39,9140502.14,836133.16,1885149.1,8.4,92,1098,66,Paul Rogers,Stephen Cooper
121,Ago every boy,Thriller,2010,06-09-2010,France,17427391.09,27181656.18,63499344.57,7737466.74,16303642.92,6.3,71,3891,3800,Ashley Medina,Daniel Callahan
122,Member,Drama,1994,06-06-1994,UK,441449.74,218628.34,441449.74,57336.77,108152.34,8,68,1198,1553,Suzanne Gonzalez,Mark Smith
123,Use area many,Comedy,2019,07-06-2019,China,6676011.02,8278990.76,15339808.35,1023916.91,4446254.35,6.6,69,2714,308,Michelle Collins,Terry Martinez
124,Every place notice,Comedy,2021,24-03-2021,China,7184310.79,20878488.02,32299503.95,5093588.13,10261130.67,5.7,55,6991,1029,Mary Mitchell,Russell Martin
125,Market,Action,2014,10-10-2014,USA,804860.37,1390840.47,2457565.74,324751.63,707618.24,5.9,59,989,304,Jennifer Atkinson,Leonard Contreras
126,Within,Horror,2006,06-06-2006,USA,3844619.63,7888249.67,17390174.85,1383874.1,4194181,7.2,70,6905,50,Mark Moody,Valerie Dennis
127,Year final,Action,2014,28-05-2014,USA,403971.11,207485.37,403971.11,38103.37,96624.31,7.8,87,1998,272,Karen Barrett,John Strickland
128,Chair deep development,Thriller,1959,13-07-1959,USA,1027881.79,1725767.97,2520217.32,300693.41,785183.74,7.2,95,18806,258,Donna Hall,Shawna Bryant
129,Expert get,Comedy,2004,18-11-2004,USA,6738796.95,6795687.64,11060464.26,803792.87,3085891.19,8,84,25966,1124,Chad Peters MD,Lucas Collins
130,Save better,Thriller,1996,05-10-1996,USA,6810283.05,11240103.16,25861721.72,1326285.2,5203273.94,7.4,76,2709,50,Michael Chung,David Lopez
131,Design than a,Drama,1962,31-08-1962,USA,44390059.55,80896756.37,159739148.7,12555368.83,47417104.78,4.5,36,5097,8034,Donna Hall,Becky Dean
132,Clear trial some society,Romance,2013,26-10-2013,Australia,5713641.3,8177047.3,13665459.06,1080793.14,3552288.78,5.4,68,4078,425,Charlotte Williams,Andrew Walker PhD
133,Up instead avoid,Drama,2011,12-10-2011,UK,4776779.09,7887454.59,11329652.59,1356226.02,3318264.83,10,87,14592,59,Janice Taylor,Thomas Sims
134,Amount manager reflect detail,Comedy,1964,09-11-1964,USA,351445.84,331907.75,566443.47,84028.11,181907.51,4.4,53,1462,50,Christopher Roach,Samantha Vargas
135,Possible yet,Comedy,2017,23-01-2017,Japan,168424.47,212657.28,305306,55217.29,113766.43,6.7,82,1717,1037,Tyler Sanchez,Leonard Contreras
136,Picture would bad student,Sci-Fi,1992,03-11-1992,USA,52805581.55,47627412.53,81788329.86,13214750.83,25274262.52,6,63,12626,565,Mark Moody,Jamie Cunningham
137,Message remember model everything,Romance,1960,07-02-1960,UK,5682724.38,2519116.22,5682724.38,262654.29,1399609.96,6.8,60,7652,50,James Miller,Deanna Johnson
138,Yet property fall,Horror,2006,05-03-2006,USA,1469711.85,3276156.3,6975692.16,513714.25,1860294.77,4.6,43,6891,257,Julie Maxwell,Timothy George
139,This before,Comedy,1988,27-10-1988,USA,2377856.68,2499520.88,3709086.01,446308.92,1260006.56,4.4,45,1124,55,Brenda Smith,Christopher Rodgers
140,Machine operation,Horror,2006,08-04-2006,India,2106945.15,2556021.63,4158819.71,356399.58,1380263.2,6.4,79,8081,546,Robin Hooper,Melissa Mcgee
141,Shake too,Horror,1964,03-04-1964,USA,471381.47,268877.33,471381.47,73120.11,124811.25,4.8,33,972,114,Anthony Rowland,Christopher Hurst
142,Identify nice,Comedy,2009,01-10-2009,USA,833017.26,2555886.32,3791670.53,260504.72,1108373.62,5.3,48,2078,114,Jennifer Atkinson,Kristy Faulkner
143,Decide body minute,Comedy,2001,10-10-2001,Japan,397591.44,496473.9,834291.71,64987.67,263571.68,5.5,55,4277,50,Darlene Murphy,Chelsea Armstrong
144,Than appear middle,Comedy,2019,10-11-2019,India,610569.53,401814.48,611789.52,81650.04,185839.9,4.5,56,1588,312,Matthew Beck,Daniel Callahan
145,Itself social,Comedy,2017,14-03-2017,USA,4902313.38,3135864.14,5063787.33,550854.59,1364669.99,4.7,49,1006,547,Ryan Tate,Benjamin Mitchell
146,Yet,Comedy,1986,30-06-1986,USA,153249538,190994158,470787809.8,48782631.91,91974780.17,5,47,1576,234,Jeremy Davis,Kristina Krause
147,Green,Drama,2015,30-08-2015,USA,708977.73,1105158.04,2579589.8,300585.2,649445.87,9,94,292,1572,James Miller,Anthony Cross
148,When,Comedy,1961,14-08-1961,USA,702361.6,1035002.9,2405038.81,248675.97,433568.55,9,93,1304,2971,Benjamin Ray,Andrew Walker PhD
149,Example center man,Comedy,1997,21-02-1997,USA,4596514.73,5323003.82,8027250.8,1064374.83,3032567.5,4.4,43,936,473,Brandon Fuller,Cynthia Little
150,Conference why final,Romance,2018,29-07-2018,USA,100000,202725.55,383806.38,58307.7,88747.14,8.8,93,10953,546,William Carpenter,Tami Miranda
151,Civil prove space,Thriller,2002,04-06-2002,USA,7207610.59,10866283.37,26399574.33,1220069.51,5778348.11,7.8,89,6280,50,Jennifer Miller,Jeffrey Holloway
152,Letter itself girl guy,Thriller,2014,02-03-2014,USA,3880973.09,7592809.97,17476813.65,1835130.49,4422801.23,8.2,78,5010,127,Gary Simmons,Mathew Castillo
153,Us check artist,Documentary,1999,24-11-1999,USA,3317560.79,4942744.69,7837975.49,775700.75,2922027,7.5,69,2071,261,Sonya Clark,Nicole Dawson
154,Black,Romance,2008,16-05-2008,USA,5358045.63,12689171.64,19524549.88,3094584.62,7449263.02,6,52,550,223,Daniel Brown,Mary Wolfe
155,Forward,Romance,2006,02-09-2006,USA,2568410.32,2421533.78,4131496.29,354857.93,1214572.37,7.7,72,5806,4217,Amber Anderson,Mr. Michael Snyder
156,Citizen fight maintain,Romance,1971,05-08-1971,USA,1645230.88,2301142.28,4241157.97,664993.86,1329645.81,6.7,57,100,778,Suzanne Gonzalez,Donald Franco
157,Apply,Thriller,1980,23-03-1980,Germany,9076834.31,9556883.93,15537539.72,1920322.6,4147829.1,7.1,54,7637,201,Amber Anderson,Daniel Thompson
158,Hotel bring,Drama,1998,24-09-1998,USA,6148180.05,11936014.34,22421349.62,3514004.73,7123630.7,7,77,1813,763,Barbara Torres,Kimberly Johnson
159,Occur wrong,Horror,1982,15-02-1982,USA,601180.21,1549587.15,2775110.19,451580.4,841896.2,8.1,96,5564,724,Jerry Owens,Dustin Jackson
160,Despite relationship,Drama,1981,16-10-1981,UK,2626597.98,5057502.23,9455136.38,1079490.44,2476618.13,8.1,98,4205,288,Sara Higgins,Jimmy Smith
161,Church nearly,Action,2014,24-08-2014,USA,18884580.08,20051844.18,44715239.32,2856881.73,9193254.6,7.5,67,4634,132,Kimberly Barker,Miss Jennifer Parsons
162,Imagine leader receive,Horror,1979,16-06-1979,USA,4673216.75,7263656.97,12775881.13,1152113.62,3822526.66,7.9,64,10357,206,Mrs. Hannah Campbell DDS,Lauren Horton
163,Sign low race,Drama,1994,21-02-1994,USA,5452826.1,14053076.41,24018528.33,2726395.01,7985730.47,9.4,84,5837,50,Rachel Kirby,Brian Mccormick
164,However,Drama,2024,14-01-2024,USA,3917095,2016407.17,3917095,205198.16,1039096,6.1,70,729,1321,Samantha Campbell,Ian Williams
165,Suggest fund,Thriller,1989,29-09-1989,Canada,329963.79,284015.29,480121.4,45819.87,116447.21,7.8,81,23359,42891,Jeffrey Myers MD,Matthew Simmons
166,Consumer miss themselves,Drama,1970,25-05-1970,USA,480822.46,310923.84,693224.68,80945.25,128293.72,7.2,55,1089,438,Troy Cochran,David Castillo
167,Several,Comedy,1989,03-12-1989,USA,13406441.23,18074520.98,40046070.56,3313439.7,10044918.68,5.7,62,588,248,William Banks,Sydney Jordan
